
Step nr. 1, h = 0.01
Step nr. 161, h = 0.00224008210606586

Step nr. 162, h = 0.00224067917338598

Step nr. 163, h = 0.00224128110928015

Step nr. 164, h = 0.00224188793422854

Step nr. 165, h = 0.00224249966893107

Step nr. 166, h = 0.00224311633430969

Step nr. 167, h = 0.00224373795151038

Step nr. 168, h = 0.00224436454190533

Step nr. 169, h = 0.00224499612709524

Step nr. 170, h = 0.00224563272891134

Step nr. 171, h = 0.00224627436941781

Step nr. 172, h = 0.00224692107091404

Step nr. 173, h = 0.00224757285593685

Step nr. 174, h = 0.00224822974726297

Step nr. 175, h = 0.00224889176791137

Step nr. 176, h = 0.00224955894114565

Step nr. 177, h = 0.00225023129047659

Step nr. 178, h = 0.00225090883966459

Step nr. 179, h = 0.00225159161272207

Step nr. 180, h = 0.0022522796339163

Step nr. 181, h = 0.00225297292777182

Step nr. 182, h = 0.00225367151907311

Step nr. 183, h = 0.00225437543286732

Step nr. 184, h = 0.0022550846944669

Step nr. 185, h = 0.00225579932945247

Step nr. 186, h = 0.00225651936367556

Step nr. 187, h = 0.00225724482326135

Step nr. 188, h = 0.00225797573461176

Step nr. 189, h = 0.00225871212440831

Step nr. 190, h = 0.0022594540196149

Step nr. 191, h = 0.00226020144748112

Step nr. 192, h = 0.00226095443554505

Step nr. 193, h = 0.00226171301163651

Step nr. 194, h = 0.00226247720388013

Step nr. 195, h = 0.00226324704069867

Step nr. 196, h = 0.00226402255081607

Step nr. 197, h = 0.0022648037632609

Step nr. 198, h = 0.00226559070736962

Step nr. 199, h = 0.00226638341278999

Step nr. 200, h = 0.00226718190948452

Step nr. 201, h = 0.00226798622773395

Step nr. 202, h = 0.00226879639814078

Step nr. 203, h = 0.00226961245163292

Step nr. 204, h = 0.0022704344194673

Step nr. 205, h = 0.00227126233323352

Step nr. 206, h = 0.0022720962248578

Step nr. 207, h = 0.00227293612660658

Step nr. 208, h = 0.00227378207109055

Step nr. 209, h = 0.00227463409126852

Step nr. 210, h = 0.00227549222045146

Step nr. 211, h = 0.00227635649230659

Step nr. 212, h = 0.00227722694086126

Step nr. 213, h = 0.00227810360050749

Step nr. 214, h = 0.0022789865060061

Step nr. 215, h = 0.00227987569249084

Step nr. 216, h = 0.00228077119547296

Step nr. 217, h = 0.00228167305084567

Step nr. 218, h = 0.00228258129488852

Step nr. 219, h = 0.00228349596427214

Step nr. 220, h = 0.00228441709606292

Step nr. 221, h = 0.00228534472772753

Step nr. 222, h = 0.00228627889713779

Step nr. 223, h = 0.00228721964257588

Step nr. 224, h = 0.00228816700273887

Step nr. 225, h = 0.00228912101674397

Step nr. 226, h = 0.0022900817241336

Step nr. 227, h = 0.00229104916488074

Step nr. 228, h = 0.00229202337939401

Step nr. 229, h = 0.00229300440852309

Step nr. 230, h = 0.00229399229356412

Step nr. 231, h = 0.00229498707626557

Step nr. 232, h = 0.00229598879883333

Step nr. 233, h = 0.00229699750393696

Step nr. 234, h = 0.00229801323471514

Step nr. 235, h = 0.00229903603478174

Step nr. 236, h = 0.0023000659482318

Step nr. 237, h = 0.00230110301964765

Step nr. 238, h = 0.00230214729410507

Step nr. 239, h = 0.00230319881717956

Step nr. 240, h = 0.00230425763495282

Step nr. 241, h = 0.00230532379401916

Step nr. 242, h = 0.00230639734149235

Step nr. 243, h = 0.00230747832501214

Step nr. 244, h = 0.00230856679275109

Step nr. 245, h = 0.00230966279342156

Step nr. 246, h = 0.00231076637628293

Step nr. 247, h = 0.00231187759114849

Step nr. 248, h = 0.002312996488393

Step nr. 249, h = 0.00231412311896012

Step nr. 250, h = 0.00231525753436974

Step nr. 251, h = 0.0023163997867259

Step nr. 252, h = 0.00231754992872439

Step nr. 253, h = 0.00231870801366092

Step nr. 254, h = 0.00231987409543906

Step nr. 255, h = 0.00232104822857849

Step nr. 256, h = 0.00232223046822333

Step nr. 257, h = 0.00232342087015067

Step nr. 258, h = 0.00232461949077934

Step nr. 259, h = 0.00232582638717841

Step nr. 260, h = 0.00232704161707643

Step nr. 261, h = 0.00232826523887037

Step nr. 262, h = 0.00232949731163505

Step nr. 263, h = 0.00233073789513241

Step nr. 264, h = 0.00233198704982105

Step nr. 265, h = 0.00233324483686615

Step nr. 266, h = 0.00233451131814939

Step nr. 267, h = 0.00233578655627902

Step nr. 268, h = 0.00233707061460021

Step nr. 269, h = 0.00233836355720533

Step nr. 270, h = 0.00233966544894465

Step nr. 271, h = 0.00234097635543755

Step nr. 272, h = 0.00234229634308305

Step nr. 273, h = 0.00234362547907143

Step nr. 274, h = 0.00234496383139559

Step nr. 275, h = 0.00234631146886241

Step nr. 276, h = 0.00234766846110507

Step nr. 277, h = 0.00234903487859479

Step nr. 278, h = 0.00235041079265346

Step nr. 279, h = 0.00235179627546567

Step nr. 280, h = 0.00235319140009203

Step nr. 281, h = 0.00235459624048182

Step nr. 282, h = 0.00235601087148625

Step nr. 283, h = 0.00235743536887211

Step nr. 284, h = 0.00235886980933538

Step nr. 285, h = 0.0023603142705152

Step nr. 286, h = 0.00236176883100815

Step nr. 287, h = 0.00236323357038282

Step nr. 288, h = 0.00236470856919448

Step nr. 289, h = 0.00236619390900057

Step nr. 290, h = 0.00236768967237536

Step nr. 291, h = 0.00236919594292613

Step nr. 292, h = 0.00237071280530909

Step nr. 293, h = 0.00237224034524544

Step nr. 294, h = 0.00237377864953807

Step nr. 295, h = 0.00237532780608843

Step nr. 296, h = 0.00237688790391381

Step nr. 297, h = 0.00237845903316479

Step nr. 298, h = 0.0023800412851434

Step nr. 299, h = 0.00238163475232105

Step nr. 300, h = 0.00238323952835725

Step nr. 301, h = 0.00238485570811874

Step nr. 302, h = 0.00238648338769864

Step nr. 303, h = 0.00238812266443644

Step nr. 304, h = 0.002389773636938

Step nr. 305, h = 0.00239143640509607

Step nr. 306, h = 0.0023931110701112

Step nr. 307, h = 0.0023947977345132

Step nr. 308, h = 0.00239649650218311

Step nr. 309, h = 0.00239820747837525

Step nr. 310, h = 0.00239993076973992

Step nr. 311, h = 0.00240166648434671

Step nr. 312, h = 0.00240341473170802

Step nr. 313, h = 0.00240517562280334

Step nr. 314, h = 0.00240694927010384

Step nr. 315, h = 0.00240873578759734

Step nr. 316, h = 0.00241053529081442

Step nr. 317, h = 0.00241234789685405

Step nr. 318, h = 0.00241417372441103

Step nr. 319, h = 0.00241601289380266

Step nr. 320, h = 0.0024178655269972

Step nr. 321, h = 0.00241973174764198

Step nr. 322, h = 0.00242161168109275

Step nr. 323, h = 0.00242350545444331

Step nr. 324, h = 0.00242541319655585

Step nr. 325, h = 0.00242733503809221

Step nr. 326, h = 0.00242927111154521

Step nr. 327, h = 0.00243122155127147

Step nr. 328, h = 0.00243318649352416

Step nr. 329, h = 0.00243516607648697

Step nr. 330, h = 0.00243716044030876

Step nr. 331, h = 0.00243916972713869

Step nr. 332, h = 0.00244119408116269

Step nr. 333, h = 0.00244323364863993

Step nr. 334, h = 0.00244528857794096

Step nr. 335, h = 0.00244735901958597

Step nr. 336, h = 0.00244944512628489

Step nr. 337, h = 0.00245154705297691

Step nr. 338, h = 0.00245366495687225

Step nr. 339, h = 0.00245579899749446

Step nr. 340, h = 0.00245794933672341

Step nr. 341, h = 0.00246011613883944

Step nr. 342, h = 0.0024622995705688

Step nr. 343, h = 0.00246449980112972

Step nr. 344, h = 0.00246671700227996

Step nr. 345, h = 0.00246895134836492

Step nr. 346, h = 0.00247120301636757

Step nr. 347, h = 0.00247347218595892

Step nr. 348, h = 0.00247575903955039

Step nr. 349, h = 0.00247806376234654

Step nr. 350, h = 0.00248038654239985

Step nr. 351, h = 0.00248272757066639

Step nr. 352, h = 0.00248508704106293

Step nr. 353, h = 0.00248746515052552

Step nr. 354, h = 0.00248812356547173

Step nr. 355, h = 0.00248763842229158

Step nr. 356, h = 0.00248644376842216

Step nr. 357, h = 0.00248481180641647

Step nr. 358, h = 0.00248291304256836

Step nr. 359, h = 0.00248085418672287

Step nr. 360, h = 0.00247870196913696

Step nr. 361, h = 0.00247649808240185

Step nr. 362, h = 0.00247426854572758

Step nr. 363, h = 0.00247202956980694

Step nr. 364, h = 0.00246979122846766

Step nr. 365, h = 0.00246755975667914

Step nr. 366, h = 0.00246533898857923

Step nr. 367, h = 0.00246313125724924

Step nr. 368, h = 0.00246093795765864

Step nr. 369, h = 0.00245875989884969

Step nr. 370, h = 0.00245659752425475

Step nr. 371, h = 0.00245445104951129

Step nr. 372, h = 0.00245232054866291

Step nr. 373, h = 0.00245020600806824

Step nr. 374, h = 0.00244810736010988

Step nr. 375, h = 0.00244602450426572

Step nr. 376, h = 0.00244395732027526

Step nr. 377, h = 0.00244190567635998

Step nr. 378, h = 0.00243986943435162

Step nr. 379, h = 0.00243784845288456

Step nr. 380, h = 0.00243584258937875

Step nr. 381, h = 0.00243385170126624

Step nr. 382, h = 0.00243187564674424

Step nr. 383, h = 0.00242991428523299

Step nr. 384, h = 0.00242796747764869

Step nr. 385, h = 0.00242603508656137

Step nr. 386, h = 0.00242411697628122

Step nr. 387, h = 0.0024222130128996

Step nr. 388, h = 0.00242032306430327

Step nr. 389, h = 0.00241844700017095

Step nr. 390, h = 0.0024165846919599

Step nr. 391, h = 0.00241473601288569

Step nr. 392, h = 0.00241290083789896

Step nr. 393, h = 0.00241107904365969

Step nr. 394, h = 0.0024092705085105

Step nr. 395, h = 0.00240747511244954

Step nr. 396, h = 0.00240569273710324

Step nr. 397, h = 0.00240392326569942

Step nr. 398, h = 0.00240216658304035

Step nr. 399, h = 0.00240042257547705

Step nr. 400, h = 0.00239869113088267

Step nr. 401, h = 0.00239697213862759

Step nr. 402, h = 0.00239526548955472

Step nr. 403, h = 0.00239357107595452

Step nr. 404, h = 0.00239188879154158

Step nr. 405, h = 0.00239021853143091

Step nr. 406, h = 0.00238856019211506

Step nr. 407, h = 0.00238691367144194

Step nr. 408, h = 0.00238527886859207

Step nr. 409, h = 0.00238365568405753

Step nr. 410, h = 0.0023820440196206

Step nr. 411, h = 0.00238044377833308

Step nr. 412, h = 0.00237885486449572

Step nr. 413, h = 0.00237727718363861

Step nr. 414, h = 0.00237571064250103

Step nr. 415, h = 0.00237415514901325

Step nr. 416, h = 0.00237261061227669

Step nr. 417, h = 0.00237107694254624

Step nr. 418, h = 0.00236955405121176

Step nr. 419, h = 0.00236804185078056

Step nr. 420, h = 0.00236654025486006

Step nr. 421, h = 0.00236504917814047

Step nr. 422, h = 0.00236356853637843

Step nr. 423, h = 0.00236209824638042

Step nr. 424, h = 0.00236063822598647

Step nr. 425, h = 0.00235918839405477

Step nr. 426, h = 0.002357748670446

Step nr. 427, h = 0.00235631897600821

Step nr. 428, h = 0.00235489923256158

Step nr. 429, h = 0.00235348936288436

Step nr. 430, h = 0.00235208929069797

Step nr. 431, h = 0.00235069894065331

Step nr. 432, h = 0.00234931823831676

Step nr. 433, h = 0.00234794711015646

Step nr. 434, h = 0.00234658548352932

Step nr. 435, h = 0.00234523328666762

Step nr. 436, h = 0.00234389044866642

Step nr. 437, h = 0.00234255689947078

Step nr. 438, h = 0.00234123256986354

Step nr. 439, h = 0.00233991739145297

Step nr. 440, h = 0.00233861129666103

Step nr. 441, h = 0.00233731421871149

Step nr. 442, h = 0.00233602609161853

Step nr. 443, h = 0.00233474685017542

Step nr. 444, h = 0.00233347642994343

Step nr. 445, h = 0.00233221476724089

Step nr. 446, h = 0.00233096179913239

Step nr. 447, h = 0.00232971746341863

Step nr. 448, h = 0.00232848169862552

Step nr. 449, h = 0.00232725444399438

Step nr. 450, h = 0.00232603563947209

Step nr. 451, h = 0.00232482522570089

Step nr. 452, h = 0.00232362314400918

Step nr. 453, h = 0.0023224293364016

Step nr. 454, h = 0.00232124374555014

Step nr. 455, h = 0.00232006631478475

Step nr. 456, h = 0.00231889698808446

Step nr. 457, h = 0.00231773571006859

Step nr. 458, h = 0.00231658242598794

Step nr. 459, h = 0.00231543708171626

Step nr. 460, h = 0.00231429962374212

Step nr. 461, h = 0.00231316999916025

Step nr. 462, h = 0.00231204815566394

Step nr. 463, h = 0.00231093404153663

Step nr. 464, h = 0.00230982760564426

Step nr. 465, h = 0.0023087287974276

Step nr. 466, h = 0.00230763756689462

Step nr. 467, h = 0.00230655386461299

Step nr. 468, h = 0.00230547764170299

Step nr. 469, h = 0.00230440884982998

Step nr. 470, h = 0.00230334744119763

Step nr. 471, h = 0.00230229336854071

Step nr. 472, h = 0.0023012465851184

Step nr. 473, h = 0.00230020704470738

Step nr. 474, h = 0.00229917470159544

Step nr. 475, h = 0.00229814951057481

Step nr. 476, h = 0.00229713142693571

Step nr. 477, h = 0.00229612040646012

Step nr. 478, h = 0.0022951164054156

Step nr. 479, h = 0.00229411938054904

Step nr. 480, h = 0.00229312928908075

Step nr. 481, h = 0.00229214608869872

Step nr. 482, h = 0.00229116973755245

Step nr. 483, h = 0.00229020019424753

Step nr. 484, h = 0.00228923741783969

Step nr. 485, h = 0.0022882813678296

Step nr. 486, h = 0.0022873320041572

Step nr. 487, h = 0.00228638928719641

Step nr. 488, h = 0.00228545317774983

Step nr. 489, h = 0.00228452363704349

Step nr. 490, h = 0.00228360062672175

Step nr. 491, h = 0.00228268410884248

Step nr. 492, h = 0.00228177404587168

Step nr. 493, h = 0.00228087040067894

Step nr. 494, h = 0.00227997313653239

Step nr. 495, h = 0.00227908221709428

Step nr. 496, h = 0.00227819760641599

Step nr. 497, h = 0.00227731926893364

Step nr. 498, h = 0.00227644716946352

Step nr. 499, h = 0.00227558127319762

Step nr. 500, h = 0.0022747215456993

Step nr. 501, h = 0.00227386795289893

Step nr. 502, h = 0.00227302046108973

Step nr. 503, h = 0.00227217903692342

Step nr. 504, h = 0.00227134364740632

Step nr. 505, h = 0.00227051425989518

Step nr. 506, h = 0.00226969084209311

Step nr. 507, h = 0.00226887336204581

Step nr. 508, h = 0.00226806178813761

Step nr. 509, h = 0.00226725608908766

Step nr. 510, h = 0.00226645623394616

Step nr. 511, h = 0.00226566219209069

Step nr. 512, h = 0.00226487393322257

Step nr. 513, h = 0.00226409142736329

Step nr. 514, h = 0.00226331464485087

Step nr. 515, h = 0.00226254355633645

Step nr. 516, h = 0.00226177813278092

Step nr. 517, h = 0.00226101834545141

Step nr. 518, h = 0.00226026416591804

Step nr. 519, h = 0.00225951556605059

Step nr. 520, h = 0.00225877251801537

Step nr. 521, h = 0.00225803499427189

Step nr. 522, h = 0.00225730296756981

Step nr. 523, h = 0.00225657641094582

Step nr. 524, h = 0.00225585529772063

Step nr. 525, h = 0.00225513960149589

Step nr. 526, h = 0.00225442929615134

Step nr. 527, h = 0.00225372435584184

Step nr. 528, h = 0.00225302475499441

Step nr. 529, h = 0.00225233046830558

Step nr. 530, h = 0.00225164147073843

Step nr. 531, h = 0.00225095773751996

Step nr. 532, h = 0.00225027924413831

Step nr. 533, h = 0.00224960596634014

Step nr. 534, h = 0.00224893788012795

Step nr. 535, h = 0.00224827496175749

Step nr. 536, h = 0.00224761718773527

Step nr. 537, h = 0.002246964534816

Step nr. 538, h = 0.00224631698000006

Step nr. 539, h = 0.00224567450053113

Step nr. 540, h = 0.00224503707389367

Step nr. 541, h = 0.00224440467781075

Step nr. 542, h = 0.00224377729024143

Step nr. 543, h = 0.00224315488937871

Step nr. 544, h = 0.00224253745364707

Step nr. 545, h = 0.00224192496170034

Step nr. 546, h = 0.00224131739241941

Step nr. 547, h = 0.00224071472491006

Step nr. 548, h = 0.00224011693850089

Step nr. 549, h = 0.0022395240127411

Step nr. 550, h = 0.00223893592739849

Step nr. 551, h = 0.00223835266245724

Step nr. 552, h = 0.0022377741981162

Step nr. 553, h = 0.00223720051478647

Step nr. 554, h = 0.00223663159308979

Step nr. 555, h = 0.00223606741385643

Step nr. 556, h = 0.00223550795812321

Step nr. 557, h = 0.00223495320713177

Step nr. 558, h = 0.00223440314232659

Step nr. 559, h = 0.00223385774535325

Step nr. 560, h = 0.00223331699805653

Step nr. 561, h = 0.00223278088247861

Step nr. 562, h = 0.00223224938085746

Step nr. 563, h = 0.00223172247562501

Step nr. 564, h = 0.00223120014940533

Step nr. 565, h = 0.00223068238501315

Step nr. 566, h = 0.00223016916545201

Step nr. 567, h = 0.00222966047391281

Step nr. 568, h = 0.00222915629377204

Step nr. 569, h = 0.00222865660859028

Step nr. 570, h = 0.00222816140211059

Step nr. 571, h = 0.00222767065825692

Step nr. 572, h = 0.0022271843611327

Step nr. 573, h = 0.00222670249501923

Step nr. 574, h = 0.00222622504437426

Step nr. 575, h = 0.0022257519938305

Step nr. 576, h = 0.0022252833281942

Step nr. 577, h = 0.00222481903244376

Step nr. 578, h = 0.00222435909172822

Step nr. 579, h = 0.00222390349136594

Step nr. 580, h = 0.00222345221684336

Step nr. 581, h = 0.00222300525381342

Step nr. 582, h = 0.00222256258809443

Step nr. 583, h = 0.00222212420566875

Step nr. 584, h = 0.00222169009268138

Step nr. 585, h = 0.00222126023543881

Step nr. 586, h = 0.0022208346204078

Step nr. 587, h = 0.00222041323421402

Step nr. 588, h = 0.00221999606364097

Step nr. 589, h = 0.00221958309562867

Step nr. 590, h = 0.00221917431727261

Step nr. 591, h = 0.00221876971582244

Step nr. 592, h = 0.00221836927868103

Step nr. 593, h = 0.0022179729934031

Step nr. 594, h = 0.00221758084769437

Step nr. 595, h = 0.00221719282941024

Step nr. 596, h = 0.00221680892655482

Step nr. 597, h = 0.00221642912727993

Step nr. 598, h = 0.00221605341988387

Step nr. 599, h = 0.00221568179281057

Step nr. 600, h = 0.00221531423464853

Step nr. 601, h = 0.00221495073412975

Step nr. 602, h = 0.00221459128012884

Step nr. 603, h = 0.00221423586166196

Step nr. 604, h = 0.00221388446788596

Step nr. 605, h = 0.00221353708809736

Step nr. 606, h = 0.00221319371173148

Step nr. 607, h = 0.00221285432836145

Step nr. 608, h = 0.00221251892769743

Step nr. 609, h = 0.00221218749958563

Step nr. 610, h = 0.00221186003400745

Step nr. 611, h = 0.00221153652107869

Step nr. 612, h = 0.00221121695104861

Step nr. 613, h = 0.00221090131429919

Step nr. 614, h = 0.00221058960134422

Step nr. 615, h = 0.00221028180282859

Step nr. 616, h = 0.00220997790952742

Step nr. 617, h = 0.00220967791234535

Step nr. 618, h = 0.00220938180231572

Step nr. 619, h = 0.00220908957059978

Step nr. 620, h = 0.00220880120848609

Step nr. 621, h = 0.00220851670738964

Step nr. 622, h = 0.00220823605885121

Step nr. 623, h = 0.00220795925453661

Step nr. 624, h = 0.00220768628623609

Step nr. 625, h = 0.00220741714586354

Step nr. 626, h = 0.00220715182545585

Step nr. 627, h = 0.00220689031717229

Step nr. 628, h = 0.00220663261329382

Step nr. 629, h = 0.0022063787062225

Step nr. 630, h = 0.00220612858848078

Step nr. 631, h = 0.00220588225271099

Step nr. 632, h = 0.00220563969167465

Step nr. 633, h = 0.0022054008982519

Step nr. 634, h = 0.00220516586544097

Step nr. 635, h = 0.0022049345863575

Step nr. 636, h = 0.00220470705423407

Step nr. 637, h = 0.00220448326241961

Step nr. 638, h = 0.00220426320437889

Step nr. 639, h = 0.00220404687369193

Step nr. 640, h = 0.00220383426405351

Step nr. 641, h = 0.00220362536927269

Step nr. 642, h = 0.00220342018327227

Step nr. 643, h = 0.00220321870008832

Step nr. 644, h = 0.00220302091386966

Step nr. 645, h = 0.00220282681887742

Step nr. 646, h = 0.0022026364094846

Step nr. 647, h = 0.00220244968017556

Step nr. 648, h = 0.00220226662554564

Step nr. 649, h = 0.00220208724030068

Step nr. 650, h = 0.00220191151925659

Step nr. 651, h = 0.00220173945733899

Step nr. 652, h = 0.00220157104958274

Step nr. 653, h = 0.00220140629113161

Step nr. 654, h = 0.0022012451772378

Step nr. 655, h = 0.00220108770326168

Step nr. 656, h = 0.00220093386467131

Step nr. 657, h = 0.00220078365704215

Step nr. 658, h = 0.00220063707605667

Step nr. 659, h = 0.00220049411750404

Step nr. 660, h = 0.00220035477727977

Step nr. 661, h = 0.00220021905138539

Step nr. 662, h = 0.00220008693592816

Step nr. 663, h = 0.00219995842712072

Step nr. 664, h = 0.00219983352128079

Step nr. 665, h = 0.00219971221483093

Step nr. 666, h = 0.0021995945042982

